ID,Filter_type,Status
319,F3,Feeble
320,F3,Feeble
321,F3,Healthy
322,F3,Healthy
323,F3,Feeble
324,F3,Healthy
325,F3,Feeble
326,F3,Feeble
327,F3,Healthy
328,F3,Healthy
329,F3,Feeble
330,F3,Feeble
331,F3,Healthy
332,F3,Healthy
333,F3,Feeble
334,F3,Healthy
335,F3,Feeble
336,F3,Feeble
337,F3,Feeble
338,F3,Healthy
339,F3,Feeble
340,F3,Healthy
341,F3,Healthy
342,F3,Healthy
343,F3,Feeble
344,F3,Healthy
345,F3,Healthy
346,F3,Healthy
347,F3,Healthy
348,F3,Healthy
349,F3,Feeble
350,F3,Healthy
351,F3,Feeble
352,F3,Feeble
353,F3,Feeble
354,F3,Healthy
355,F3,Healthy
356,F3,Feeble
357,F3,Healthy
358,F3,Feeble
359,F3,Feeble
360,F3,Feeble
361,F3,Healthy
362,F3,Feeble
363,F3,Feeble
364,F3,Feeble
365,F3,Healthy
366,F3,Feeble
367,F3,Healthy
368,F3,Feeble
369,F3,Feeble
370,F3,Healthy
371,F3,Healthy
372,F3,Feeble
373,F3,Healthy
374,F3,Feeble
375,F3,Feeble
376,F3,Feeble
377,F3,Feeble
378,F3,Healthy
379,F3,Healthy
380,F3,Healthy
381,F3,Feeble
382,F3,Feeble
383,F3,Healthy
384,F3,Healthy
385,F3,Healthy
386,F3,Healthy
387,F3,Healthy
388,F3,Healthy
389,F3,Healthy
390,F3,Feeble
391,F3,Feeble
392,F3,Healthy
393,F3,Feeble
394,F3,Feeble
395,F3,Feeble
396,F3,Healthy
397,F3,Healthy
398,F3,Feeble
399,F3,Feeble
